"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"测试密码不一致","711","测试密码不一致","tests","Mon May 05 01:20:57 CST 2025","failed","Mon May 05 01:20:58 CST 2025","TestRegister","test_register","",""
"测试发布问题按钮","248","测试发布问题按钮","tests","Mon May 05 01:20:56 CST 2025","passed","Mon May 05 01:20:56 CST 2025","TestQuestion","test_question","",""
"测试用户名为空","202","测试用户名为空","tests","Mon May 05 01:20:31 CST 2025","passed","Mon May 05 01:20:31 CST 2025","TestLogin","test_login","",""
"测试从登录页面导航到注册页面","183","测试从登录页面导航到注册页面","tests","Mon May 05 01:20:54 CST 2025","passed","Mon May 05 01:20:54 CST 2025","TestLogin","test_login","",""
"测试未登录状态下受保护页面的访问","2203","未登录用户访问受保护页面","tests","Mon May 05 01:21:38 CST 2025","passed","Mon May 05 01:21:40 CST 2025","TestUnauthenticatedAccess","test_unauthenticated_access","",""
"测试未登录状态下公开页面的访问","30709","未登录用户访问公开页面","tests","Mon May 05 01:21:07 CST 2025","passed","Mon May 05 01:21:38 CST 2025","TestUnauthenticatedAccess","test_unauthenticated_access","",""
"测试问答标签筛选功能","250","测试问答标签筛选功能","tests","Mon May 05 01:20:56 CST 2025","passed","Mon May 05 01:20:56 CST 2025","TestQuestion","test_question","",""
"测试密码错误登录失败","629","使用错误密码尝试登录","tests","Mon May 05 01:20:30 CST 2025","passed","Mon May 05 01:20:31 CST 2025","TestLogin","test_login","",""
"测试邀请码为空","858","测试邀请码为空","tests","Mon May 05 01:21:03 CST 2025","failed","Mon May 05 01:21:04 CST 2025","TestRegister","test_register","",""
"测试用户名为空","5576","测试用户名为空","tests","Mon May 05 01:20:58 CST 2025","passed","Mon May 05 01:21:03 CST 2025","TestRegister","test_register","",""
"测试问答页面加载","738","检查问答列表页加载","tests","Mon May 05 01:20:54 CST 2025","passed","Mon May 05 01:20:55 CST 2025","TestQuestion","test_question","",""
"测试问答分页功能","592","测试问答分页功能","tests","Mon May 05 01:20:55 CST 2025","passed","Mon May 05 01:20:56 CST 2025","TestQuestion","test_question","",""
"测试正常登录成功","775","使用有效凭据登录","tests","Mon May 05 01:20:29 CST 2025","passed","Mon May 05 01:20:30 CST 2025","TestLogin","test_login","",""
"测试博客标签筛选功能","262","测试博客标签筛选功能","tests","Mon May 05 01:20:29 CST 2025","passed","Mon May 05 01:20:29 CST 2025","TestBlog","test_blog","",""
"测试注册成功","853","新用户成功注册","tests","Mon May 05 01:20:56 CST 2025","passed","Mon May 05 01:20:57 CST 2025","TestRegister","test_register","",""
"测试博客分页功能","664","测试博客分页功能","tests","Mon May 05 01:20:28 CST 2025","passed","Mon May 05 01:20:29 CST 2025","TestBlog","test_blog","",""
"测试写文章按钮","309","测试写文章按钮","tests","Mon May 05 01:20:29 CST 2025","passed","Mon May 05 01:20:29 CST 2025","TestBlog","test_blog","",""
"测试博客页面加载","959","检查博客列表页加载","tests","Mon May 05 01:20:27 CST 2025","passed","Mon May 05 01:20:28 CST 2025","TestBlog","test_blog","",""
"测试记住密码功能","22834","测试记住密码功能","tests","Mon May 05 01:20:31 CST 2025","failed","Mon May 05 01:20:54 CST 2025","TestLogin","test_login","",""
"","1186","测试动态获取的页面链接访问","tests","Mon May 05 01:21:40 CST 2025","passed","Mon May 05 01:21:41 CST 2025","TestUnauthenticatedAccess","test_unauthenticated_access","",""
"测试错误的邀请码","2314","测试错误的邀请码","tests","Mon May 05 01:21:04 CST 2025","failed","Mon May 05 01:21:07 CST 2025","TestRegister","test_register","",""
